Region,Producto,Mes,Ventas,Satisfaccion_Cliente,Costo_Operativo
Oeste,Producto_A,2023-05,3613,4.392059593349946,2395
Oeste,Producto_A,2023-06,3733,3.194352987541537,2186
Oeste,Producto_A,2023-07,4009,3.5083272981394775,1909
Oeste,Producto_A,2023-08,1784,4.697339589849349,745
Oeste,Producto_A,2023-09,4247,4.105639953815816,2205
Oeste,Producto_A,2023-10,3806,3.8395617128925528,2341
Oeste,Producto_A,2023-11,1920,4.223027421731361,2029
Oeste,Producto_A,2023-12,3950,4.003032589374399,1184
Oeste,Producto_B,2023-01,1019,4.29992786155553,899
Oeste,Producto_B,2023-02,3701,4.780010683635132,1666
Oeste,Producto_B,2023-03,2115,4.157729791015117,2323
Oeste,Producto_B,2023-04,3774,4.344052270590399,550
Oeste,Producto_B,2023-05,4736,3.3100832334554884,1648
Oeste,Producto_B,2023-06,3197,4.1816665211380215,2852
Oeste,Producto_B,2023-07,2715,3.077669468858846,1577
Oeste,Producto_B,2023-08,4050,3.2541210253037693,2811
Oeste,Producto_B,2023-09,4124,3.543085831639484,504
Oeste,Producto_B,2023-10,2126,3.170694929987536,1376
Oeste,Producto_B,2023-11,1991,4.062709263136296,546
Oeste,Producto_B,2023-12,3914,4.2748598029964135,768
Oeste,Producto_C,2023-01,1369,4.03260069660239,2193
Oeste,Producto_C,2023-02,2682,4.590372389537407,1330
Oeste,Producto_C,2023-03,2810,3.877942841411272,2474
Oeste,Producto_C,2023-04,2369,3.0507014868309152,616
Oeste,Producto_C,2023-05,2853,4.671960241024411,2431
Oeste,Producto_C,2023-06,2012,3.116387191016887,1133
Oeste,Producto_C,2023-07,1512,3.884704459462209,1619
Oeste,Producto_C,2023-08,4709,3.1877465801625835,987
Oeste,Producto_C,2023-09,4308,3.5598677938918857,1712
Oeste,Producto_C,2023-10,1703,4.108708105022801,2794
Oeste,Producto_C,2023-11,4147,4.132074420988152,1496
Oeste,Producto_C,2023-12,4157,3.0287869772595117,1743
